user_id,email,hashed_password,company_name,user_type,interested_countries,interested_categories,subscription_expiry_date,created_at
109,charles.gonzalez,$5$12$Gr9f0CMUm5U3SlF52wc7kV8zMqZ/8p9rW78i13MRunpotRRkHNbqQ,Pacific Export Trading Co.,enterprise,"[1, 2, 3, 4, 5, 6, 7, 9, 10]","[2, 4, 5, 6, 7, 8, 10, 11, 13, 15]",2026-01-10,2025-04-06 03:46:32
110,elizabeth.brown,$5$12$kbhfcC0KdFjHctgVDvosIcnAAGzICTo8Hgc6W3zKEfmFCeBWH3lD2,Global Jakarta Digital,basic,"[1, 4, 5, 6, 7]","[7, 13]",2026-01-10,2025-10-07 03:59:47
111,export@asiaasiainternational@group.com,$2b$12$JruY4POJ.9qwxONb0dEzYAf9v51F42E/uae3toUvTHiQ28p73p1j3,Asia Asia International,basic,[1],"[5, 6, 9, 10, 13]",2025-06-07,2024-12-09 02:42:11
112,charlotte.1993,$2a$12$gQ1Ux85bzCUdJBR1EEke7erPSLmD6jaKBjaMKwP/Urb9wXs7EDuu/,"Global Holdings Co., Ltd",free,"[2, 3]","[2, 6, 13]",,2025-07-03 09:43:13
113,contact@globalservicestrading,$2y$12$6bAXzeyg4QIWdUrCml90BBFjjvLWfqKJuAGH6jK/UoctGs.sY5.Bg,Global Services Trading,enterprise,"[2, 4, 6, 7, 8, 9, 10]","[1, 4, 5, 7, 9, 10, 11, 12, 13, 15]",2026-01-10,2025-02-04 20:22:58
114,contact@chiangmaiasiagroup,$5$12$44vUmJ7BbK328uFqFnWK8PEe/K0MflMAqQ3A.05yylwyJljDw8B.a,Chiang Mai Asia Group,basic,"[2, 4, 5, 6, 10]","[1, 4, 9, 10]",2025-10-14,2025-04-17 23:48:09
115,sales@côngtynelsongroup,$2b$12$gj4rHn8dL6Wo/zs.DCGJSZW.9rZTAEGrqbUtv7opptY1OjxRfurTr,Công ty Nelson Group,basic,"[5, 7]","[4, 7, 8, 10]",2025-10-13,2025-06-15 11:51:01
116,sales@jakartasoutheastgroup,$2a$12$SzqO9o.3LNlNrP6qCa5zBYkwqTyKXu3MUiwIld542Wu7/Y/qs1Ddo,Jakarta Southeast Group,enterprise,"[1, 3, 4, 5, 7, 8, 9]","[1, 2, 4, 5, 9, 11, 15]",2026-01-10,2025-10-13 04:23:05
117,margaret@com.sg,$2b$12$JGLrv5AyP2aH1VLJ3aNxzCXP/UITbaf/06VpYvvPDR.zhGXtDsz9z,Phnom Penh Innovation Enterprise,free,[7],[4],,2024-11-06 04:47:00
118,info@clarkcotradingco,$2b$12$1J9pHlA2nawoeeXaBBNDyGLq52gpBY9WdcrM8gSKWRIWYTuyFZj/p,Clark & Co. Trading Co.,basic,[4],"[4, 9]",2026-01-10,2025-10-18 22:24:04
119,jessica.king,$2a$12$Hi4ZOLIuMmoaw5V/FdOJ6Ru4K68PGHwsu5/rwEDng.H7zYmn59j7j,White Group Group,pro,"[2, 3, 6, 9, 10]","[2, 4, 6, 7, 9, 11, 12, 13]",2026-01-10,2025-11-05 12:15:47
120,nora@com.vn,$6$12$GsvQP74SV07PVCtnUExeEo2eNEeab05NSwsUTr7V5ZhzZ7ExZX2Et,Hanoi Global Trading Co.,free,"[1, 7]","[8, 10, 15]",,2024-01-19 11:50:53
121,elizabeth.1997,$2y$12$.C4JbUOzY5QQjDgzWQM8pLJ1Ko2baOnnXoCb/kfffLa3sEhf/dmRd,Công ty Sanchez & Co.,free,"[5, 9]",[1],,2024-04-28 03:02:53
122,betty.ramirez,$2a$12$sIAroAOBU18J99x9V/wJqeWsfV23eqliQDwPWMl2nFjLj5M4/H50v,Jakarta Group International,enterprise,"[1, 3, 5, 6, 9]","[1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 15]",2026-01-10,2025-09-06 04:23:54
123,sofia25@com.mm,$2b$12$EwoPiSZVX6YUOS3Sk4XT9Dm5MANzYA98fRRgPLPnuWpok2I/n4fx8,Nelson Holdings Trading Co.,enterprise,"[2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14]",2026-01-10,2025-11-10 13:04:20
124,richard.wright,$2y$12$ESpzdhOTgo5FQUJKkjp9YdV6d5hgkVTf/rhEm53k4cbo1V6QLP1gn,Công ty Sanchez & Co.,pro,"[1, 2, 3, 5, 7, 8, 9, 10]","[2, 6, 7, 10]",2025-10-09,2024-01-18 16:10:53
125,harper.jackson,$2y$12$TaDmsu.2IOS2EB2t.vM/oYCv9pgUL8UkO6SI6DmOIgaSeWi9K..F0,Digital Import International,basic,"[5, 6, 7, 10]","[3, 5, 12]",2024-10-04,2024-06-06 20:39:04
126,mary90@yahoo.com,$2a$12$LKdUgUg2Bv5B1Dopy7o2REu/rMuqIHstnjw6eF5mnrnAtTre.h8tS,Cebu Holdings Group,enterprise,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[4, 5, 6, 7, 8, 11, 13, 15]",2026-01-10,2024-09-12 01:08:28
127,david@group.com,$6$12$s1BXKZWtl37mYJvl37FdTtiUeaUUSajIY2kkZpoJgu39roM1RZIaO,Digital Export Group,free,[4],"[1, 10]",,2024-12-08 02:12:56
128,aria36@global.com,$2b$12$YdR2gFlWwVof9zdMHOy7jfXds0GDIgy/mNEHaVTLsAGu6ngplsvTf,Pacific Solutions Trading Co.,free,[6],[5],,2024-02-26 18:40:03
129,info@solutionsexporttrading,$2a$12$8UrF6rLoqY0APtdPay4apim.MWs7k7DoLKtycokpxdfyiO1tIzkpb,Solutions Export Trading,pro,"[2, 5, 8]","[2, 3, 4, 5, 7, 12, 15]",2025-06-19,2024-10-22 13:24:33
130,nora.1995,$2b$12$PHdRL/TW0y8q.8vPGHUryWz6TpzmcVbBV9jUTyCDDJS3sHXEVc2ZO,Asia Solutions International,pro,"[1, 2, 3, 5, 7, 8, 9, 10]","[2, 11, 14]",2026-01-10,2024-11-02 22:49:26
131,contact@globalinternationaltrading,$2a$12$kvqnmWn7k4P8sbwAVL7OmsgNSUuXD9VJypq5jLNyU4O/nxp.hGGIx,Global International Trading,enterprise,"[1, 4, 5, 6, 7, 8, 9, 10]","[2, 4, 6, 7, 8, 13, 15]",2025-11-27,2024-03-07 04:38:00
132,margaret16@com.bn,$2y$12$sHHh.gXASSZXubHhTmCc76TJC19lc08HZJNMn9y.sND2bRuP6DDac,Global Pacific Sdn Bhd,pro,"[4, 5, 6, 8]","[3, 13, 14, 15]",2025-03-08,2024-08-10 15:45:29
133,info@pacificpartnerscoltd,$2b$12$x.Jv0bBs2Fkl3N1Py668vMCN9s0NNDkEqCAUPuO6WW4yejGeQLEC8,"Pacific Partners Co., Ltd",basic,"[3, 5, 10]","[3, 11]",2025-04-20,2024-04-25 14:38:19
134,sales@browncogroup,$5$12$pieeW8HQU7tw5XuoD1GEy/atmiv5iI7yBl/W7prVQdsmKuUtCtT5e,Brown & Co. Group,basic,"[2, 3, 4, 5, 9]","[1, 5, 9]",2025-01-17,2024-08-20 17:00:41
135,export@globaldavisco@com.sg,$2a$12$fj5IblsRuH9wdvCojRW8FoXbwbsfvcGamPSJVpTh5YDdB7Bq1nQ/X,Global Davis & Co.,pro,"[2, 4, 7, 8, 10]","[2, 3, 4, 5, 8, 15]",2025-05-12,2024-11-13 18:54:16
136,elizabeth82@business.com,$5$12$tuLKQSR9MXJ0M0iwAskQMPnk2btEeEq8.7azzpveebeR8bud9vFpW,Cebu Holdings Group,basic,[2],[4],2026-01-08,2025-09-10 05:53:36
137,evelyn@com.la,$5$12$KQmkRCqa6y6.9YpGC9CgoNKW.6dbmjp1lkekcyRB.FopL8xIWdN3I,Global Davis & Co.,basic,[5],"[2, 4, 12, 13, 14]",2025-12-05,2025-06-08 03:49:39
138,mila.davis,$2a$12$Oa0ySGu60uS4gUA27yGF7g2F9mDDuH8okvxzQlJtYETFSfwGTlvz4,Solutions Export Export,pro,"[1, 2, 4, 5, 7]","[3, 6, 9]",2026-01-10,2024-04-24 22:40:23
139,layla61@outlook.com,$2y$12$dbu84.94X4AD.4yMY9XEgyDUuNGhpMqx3ciIKJvccvit/4Aew1Saq,Southeast Import Holdings,free,"[3, 4]","[1, 12]",,2025-03-13 13:15:42
140,contact@asiaexportinternational,$2y$12$ggL64tZK23UY/h7ES808g1QPEPyK9q8CJDVq4pS1AbjrHLEQoFvb5,Asia Export International,free,"[1, 8]","[4, 7, 12]",,2024-05-12 17:10:15
141,export@globalsingaporeinternational@com.kh,$2y$12$j/7QCgN8k8FfJ9VOZmcl8H329NGOik8JYWbh6jTHjfWaq7k8XIoBZ,Global Singapore International,pro,"[1, 3, 4, 6]","[1, 2, 3, 6, 7, 12]",2026-01-10,2025-10-12 09:53:43
142,lillian91@com.vn,$2b$12$hn5i35fzvpWa9smef75J2D/54xBDyHWJh8MXzkUGQK3EdwIaxc8aK,Surabaya Southeast Trading Co.,free,[3],[5],,2025-02-20 09:12:33
143,susan37@com.vn,$2a$12$o4fvR5wMf3pMdhu0p8qIs0WxpMdxwdpIRY2cyyvoplUBRr73SKXL5,Asia Import Holdings,basic,"[5, 9]","[1, 7]",2026-01-10,2025-11-09 09:47:29
144,charlotte66@group.com,$5$12$KLwF8jy/wGTenH4ZQt6ZvCG7fXTDStVHochaN7z37k9md88BWNqVg,Asia Southeast Holdings,basic,[5],"[3, 8, 11, 13, 15]",2026-01-10,2025-08-25 02:43:50
145,contact@asiasolutionsinternational,$2y$12$jRN8E/JxSP1RPQXIVg.iTsIf5awTPQDcD8xCyc47UltZaIy75It3A,Asia Solutions International,pro,"[1, 3, 4, 6, 8, 9, 10]","[1, 7, 9, 11, 13, 14]",2025-11-16,2024-09-22 11:10:43
146,jennifer46@company.com,$2y$12$dLNrrPUAu18TdxcIwC2BxRWH116mJv0ll.Fc/zNYKvq86KBGk/u4t,Trading Export Trading,basic,[3],"[1, 2]",2024-09-08,2024-01-12 18:24:19
147,elizabeth@com.la,$2b$12$J2vUSlhuzRB1bV0L4wTo1lcAFANRKETNMtliZ/10WPbvdRtbPzBUw,Global Southeast Trading Co.,basic,"[1, 4]","[3, 8, 9, 10]",2025-12-01,2024-12-06 06:38:41
148,harper.green,$5$12$Hu6r05EDTtM6y4gjp2Fpng66anfcPNS2ij63llB7tTnGW5eoEnur5,Pacific Solutions Trading Co.,basic,[5],"[1, 4, 11, 13]",2024-11-25,2024-08-27 01:31:00
149,export@millerholdingsholdings@outlook.com,$5$12$56.O3Zxi/ypXx7O4alxVvPfG.1U09tOftB0BIxtPm/CfWgJ3GxArJ,Miller Holdings Holdings,basic,"[1, 2, 4, 8]","[1, 2, 5, 14]",2025-12-17,2025-07-20 07:17:47
150,patricia78@com.sg,$6$12$zz7U/RrW0X92hXFDbx2uWk2FPok/8OMaLmk0Iz9qsQb38wbdAl/YM,Corporation Export International,enterprise,"[2, 3, 4, 8, 9, 10]","[1, 2, 5, 7, 10, 11, 12, 13]",2026-01-10,2024-02-26 23:25:03
151,contact@danangpacificcoltd,$2y$12$HdBEOf7X4QB6TVXB0mbUHuJE.8wvIJu15tPMPQI8lL5bUKBOSAlao,"Da Nang Pacific Co., Ltd",free,"[2, 3]","[2, 7, 13]",,2025-07-27 20:15:34
152,lillian.1996,$2b$12$oe2dPy7QBU.nVTSCUqReVQcfaKy4Mbfl9nVaIybPXToMa3T/hhFl8,Global Penang Import,basic,"[1, 3, 5, 8, 10]","[2, 4, 15]",2025-10-18,2025-03-22 08:01:11
153,michelle.1999,$2b$12$T1LBvIphtRh2w8zO2TW.4kNZ315dS/M4MvsfKcyHLqvul7V9yP.yH,Garcia & Co. Group,pro,"[1, 3, 4]","[4, 5, 10, 13]",2026-01-10,2024-12-13 21:17:06
154,info@globaltradinginternational,$2b$12$o1wYgoQMC467foTqz6bdtz7j4.JFN.HPZeyag449ALQkyHJC/mDCj,Global Trading International,enterprise,"[2, 3, 4, 5, 7, 9]","[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14]",2026-01-10,2024-09-23 11:02:47
155,layla@co.th,$2a$12$VPedKzGly/DpmN4gZLveXirhAtSkfFdDY01HhKD4V2E7Iw3WXWo7O,Lee & Co. Trading,pro,"[1, 3, 4, 6, 7, 8, 9]","[1, 5, 7, 9, 11, 13, 15]",2026-01-10,2024-04-21 13:28:05
156,sarah.1990,$2y$12$Dx1qzhbq/jCHgmE9fDheAnIsi534TdHQmJfimGxUM3wz22Rt/.yio,Innovation Trading Sdn Bhd,basic,"[2, 8]","[2, 10]",2024-06-19,2024-03-21 09:55:31
157,sales@greengrouptrading,$2y$12$HxFM0GlTSUfF22QUPADIdF7jp4/n6rM.uOTvNENMbdJ.eI7hQ2Viz,Green Group Trading,free,"[2, 4]",[3],,2024-06-01 23:06:18
158,mary.rodriguez,$5$12$1dFuzP7qga.q1Z43IK.lfHQGJwJ4bOnnEn5VgIzAjAsRJELAIis4Q,Global Export Pte Ltd,basic,"[3, 5, 7, 9]","[3, 4, 5, 6, 13]",2024-10-30,2024-01-04 19:45:52
159,richard.1995,$2a$12$fAfRdjvN8HPGJdmzAg6kCvL.5J.32t2dtjbJUeTjTtGPt.Gn.T2v4,Lee Group Holdings,free,"[5, 6]","[3, 8, 14]",,2024-09-26 23:03:22
160,margaret.1991,$2b$12$Hhk5lXJvgsCi.qTOsA7LAsYI4lGYj7WuRqzifBycFZ/dHfuQ6oVWo,Cebu Holdings Group,basic,"[2, 3, 4, 10]","[2, 4, 9, 10]",2026-01-10,2025-05-07 04:48:35
161,amelia23@co.th,$2b$12$9SWcclhhHuB0bu5f6zeBD5oaUbCaQo4AVdrAaJRPIMs00ROeWBKf2,Pacific Solutions Trading Co.,basic,"[5, 6]","[1, 7, 8, 13, 15]",2024-08-02,2024-02-04 00:43:49
162,karen.1989,$2b$12$JjT2Kk.fTt57.rmZXeWGtm5sPxNQJ7vIoxt9MeEaHYym3IROZSQZY,Global Asia Trading,basic,"[1, 5]","[3, 4, 6]",2026-01-10,2025-05-07 00:09:09
163,aria@com.ph,$2a$12$lkoVHZWByPkpt2pZstxoUk.1hZhzeF/hmzrkR2V7y/O.WJJqbobfk,Innovation Trading Trading Co.,free,"[2, 10]",[6],,2025-11-22 19:00:31
164,william.clark,$5$12$MXtXh7l3JR2qi01PvweA0fDfCcNXw8BbUf30xnBbc9bmAKfS27QVx,Jakarta Southeast Group,free,"[2, 7]","[2, 3, 13]",,2025-03-01 17:19:40
165,contact@browncogroup,$6$12$DDTi.gq54vFpOCXm2bMvGcHshaFZW0fAc5/zddV36WG7sll89pZ5e,Brown & Co. Group,free,"[4, 9]","[3, 5]",,2025-02-26 12:13:00
166,contact@danangsystemspteltd,$2b$12$2AqQy6jPtC684DZwf7aYP8BZOzEPe5BNE/GPtKlaCQdnrrkK/s3Nb,Da Nang Systems Pte Ltd,enterprise,"[1, 2, 4, 6, 7, 8]","[1, 3, 4, 6, 10, 11, 15]",2026-01-10,2025-04-23 15:54:58
167,contact@asiadigitalgroup,$5$12$W5FUZHXP/et0IiR2m5/WLm9fgjHZJ/cA8Q2QBLOiqvz.M04pUpJB4,Asia Digital Group,basic,"[2, 4, 8]","[1, 3, 7]",2025-10-12,2025-05-15 05:47:28
168,sales@globalexportpteltd,$2b$12$b31QZtzn8zNOy1HJxp4p4Teum5.rbus.l9dCvlhpZPDG1ONd6DYEH,Global Export Pte Ltd,free,"[3, 4]","[1, 3]",,2025-01-15 16:39:00
169,john82@export.com,$6$12$i7bWiKR2Di8wZn9HCK6js9jVT3Z7wm.v79a6Js4X0/jPQzKjBZXHX,Asia Southeast International,pro,"[1, 4, 9]","[1, 2, 3, 5, 6, 8, 14, 15]",2025-03-14,2024-08-16 08:02:05
170,aria95@co.id,$2y$12$nTXwmwpK7V5G8oruozHvcQCC.Iy9XE57JB9d36eL7q1VdkilmLFeu,"Da Nang Pacific Co., Ltd",free,"[4, 9]",[15],,2024-01-28 05:12:20
171,info@kualalumpurservicestradingco,$2b$12$vFBCh75aiYbmUnpupfdydZxXYAw.WS3lWv/tVXnuctVQ16fuHF2f6,Kuala Lumpur Services Trading Co.,enterprise,"[1, 2, 3, 5, 8]","[2, 3, 5, 8, 10, 12, 14, 15]",2026-01-10,2024-09-09 02:12:18
172,export@pacificexportholdings@com.bn,$2a$12$YW8LEm9EpsdHuka/Xqd2qU.CgtdUzB8XOabS6PWS4UJkaBLQvIpNb,Pacific Export Holdings,free,[4],"[2, 3, 4]",,2025-02-13 16:13:32
173,michael@asia.com,$6$12$gOon9QBPFwXg.FueX2JpOz4lhnox10mwUoWZjFH4HwmLzqv7t.lR.,Digital Import International,basic,"[4, 5, 8, 9]","[4, 6, 8]",2025-11-24,2025-04-28 07:33:00
174,david.1989,$2a$12$fplvcj.xvx5YLRp06olBju0nrnM2mCGhADEtvV2lPmra/V6Z8Xc1A,Bandar Seri Begawan Asia Group,basic,"[2, 3, 4, 5, 9]",[3],2025-07-01,2024-07-06 04:56:38
175,info@globalimporttrading,$6$12$gFaqwUe6yjb7jOnxD5ryK1HyL43TIfGoTcCtq/wDYRFwsr6gjESZ7,Global Import Trading,pro,"[1, 2, 4, 5, 6, 7, 8, 9]","[1, 2, 5, 6, 8, 11, 15]",2025-05-31,2024-12-02 10:49:48
176,patricia.martinez,$2y$12$T36eyvImSgyLk5Mvn5aUHv0NXSjOcl/KWyEENDKZ0sXhGY1lQx57A,Bandar Seri Begawan Technology Trading Co.,pro,"[1, 2, 3, 4, 7, 9, 10]","[1, 2, 6, 7, 9, 11, 13, 15]",2026-01-10,2024-12-13 02:34:45
177,john.1987,$5$12$KLrrKWIZJZaQO48CxJ7IUZBOdvrrEx0zb/lBwj/zI7dhf3bV503Fx,Kuala Lumpur Southeast Trading,basic,[5],"[1, 9, 10, 11]",2025-04-21,2024-10-23 08:14:03
178,nora94@com.vn,$6$12$o2SZdVfFMo5oQp68akAFQU.Hm7RVKdfV34nNMFSxJcRY0x/olacbq,"Pacific Partners Co., Ltd",enterprise,"[2, 3, 4, 7, 8]","[1, 2, 3, 4, 5, 9, 11, 14, 15]",2026-01-10,2024-02-04 19:21:28
179,info@globaljakartadigital,$2b$12$5P53fm.XTFtaL/neSoLgYEvWE.my02/KsMqMVn21fA2w3RWA7LGPY,Global Jakarta Digital,free,[8],"[4, 12]",,2025-11-17 17:09:44
180,aria.jones,$5$12$7Ub/vHwlnEwBzsPoKV.PMoPgQh1cCLwDjcT4HIGjpLFLWwYV/H/uT,Solutions Export Trading,pro,"[2, 3, 4, 6, 8, 9, 10]","[4, 5, 6, 7, 12, 13, 15]",2026-01-10,2025-05-19 08:57:56
181,linda@com.mm,$6$12$IklRlbq/hXGNt9PBk5UdwYVHzLO1qidkQXW35MP.LiKnuowDNKrPy,Manila Import Trading Co.,enterprise,"[1, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 8, 9, 12, 13, 14]",2026-01-10,2024-11-01 05:00:25
182,info@surabayasoutheasttradingco,$2y$12$8Sg534GYZcOXwsps02I9Qituzn3jlJX5nE5zFebV3m6qk3WT4eu39,Surabaya Southeast Trading Co.,basic,"[1, 2, 5, 7, 10]","[1, 3, 4, 14]",2025-08-25,2024-11-28 00:56:50
183,contact@asiaservicescoltd,$2b$12$2IMJdLEtDLeme9o/sZUpAvgmD/R8bWnV91g.duFBvS9yJbelFRAbE,"Asia Services Co., Ltd",enterprise,"[1, 2, 3, 4, 6, 7]","[2, 4, 6, 8, 10, 13]",2026-01-10,2025-10-16 05:23:57
184,sales@jonesholdingsenterprise,$5$12$3YhfF9OKNdeB9NxNxaeB6a7ctgcVEGOtvvFbMRbYAkbPZPZT.VjVs,Jones Holdings Enterprise,basic,[1],"[5, 11]",2024-06-14,2024-01-16 10:15:44
185,export@robertsgroupholdings@com.vn,$2a$12$OXUuaJgPK0iF4PNYHVWrfzc8OKI3jk4fI6EVI6IKdmUBQZENH/VCv,Roberts Group Holdings,pro,"[1, 2, 3, 4, 5, 7, 9, 10]","[4, 6, 7]",2026-01-10,2025-06-01 08:14:49
186,evelyn88@group.com,$5$12$oaQ6dbRxfQh2JDRUJ5cEZeqE1YX34ZcA8nIzwz71fLg2pJc6Npfba,Bangkok Limited Group,free,"[1, 6]","[1, 13]",,2024-11-12 21:36:09
187,harper.1981,$2y$12$z49Bq/AJSlOgpfKKiHYGIyYEMmz2qBIiqr60cLI7TYoEJRv5n0HVO,Global Johor Bahru Network,enterprise,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 15]",2026-01-10,2024-09-22 15:03:57
188,sophia.lewis,$2b$12$VQhWjrx3973v3irkBdZGRaI0M8ky6T3UfE6TAyE0gfRg4fRoI0QkB,Global Johor Bahru Network,basic,"[1, 3]","[1, 7]",2025-09-06,2024-09-11 21:14:02
189,mila.robinson,$6$12$MoYxTedIQ.n2U51gplSfZmT/zU9y9emXzaYxD9wwvtRcc2W86ULeO,Hanoi Enterprise Trading Co.,basic,"[7, 9]","[2, 3, 12]",2025-03-09,2024-08-11 06:40:35
190,info@floresholdingsglobal,$2a$12$TXuPCmVhkIqKEcEaEUi24aT2OuqRdDShXr3rigxWHeoSNa0y2EW81,Flores Holdings Global,basic,"[1, 4, 5, 6, 7]",[2],2026-01-10,2025-07-18 13:41:14
191,kimberly@com.my,$2a$12$8OhwsTvIXLvZ.yx47rPPK1EgGK96Z6Zo/JL7iHdmkhb33vORkDUZp,Smith Holdings International,enterprise,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 8, 9, 11, 13]",2026-01-10,2025-01-05 08:41:11
192,patricia.1993,$2y$12$2d1l8f9r0T28FEKaGFyap7dIhGq3dxFpFA0h3a5068ykjrj3ZOqj/,Network Trading Trading Co.,pro,"[3, 4, 5]","[2, 5, 6, 7, 8, 10, 15]",2026-01-10,2025-06-13 08:59:57
193,william.1987,$5$12$xC6avgOoEoxS2kJuTkJTwOqN2A07KErpU4aHkl74k1gBOm.I31tWI,Asia Export International,pro,"[1, 2, 3, 5, 6, 8, 9, 10]","[1, 2, 3, 4, 9]",2026-01-10,2024-06-19 03:22:46
194,thomas.1989,$2b$12$/l4hrDqXbg/iHc679O24v9OvY3SmjxjxV82sp9SfBMj.arSUNXS1z,Pacific Trading Trading Co.,free,"[2, 3]","[1, 6, 7]",,2025-08-28 10:35:35
195,evelyn@com.my,$2a$12$nDWztV29RifUAKX49XeNvFnCiDVBubVVjy8NB2U8gI2Ndfq.zvcZ6,Global Manila Network,enterprise,"[1, 3, 4, 6, 8, 9, 10]","[1, 2, 5, 8, 11, 14, 15]",2026-01-10,2025-09-13 15:05:13
196,sales@whitegroupgroup,$2b$12$Dzoic5v/7dfr6QTE5ipGS0DIFenYwPRzfFpChNelpv5WU/ra0cJl8,White Group Group,basic,"[4, 5]","[3, 4, 11, 13]",2026-01-10,2025-09-12 01:06:16
197,contact@medansystemsinternational,$2b$12$yUWnxqbt1G1l1odDfxasyLvu8CLHsYOCiO.zDPUs9wXbaOpz5c90f,Medan Systems International,free,"[6, 8]",[3],,2025-07-21 12:27:43
198,nora45@com.ph,$2y$12$oSK4UyC5q0QoHdUAR45NFYbVBjha/t7koZXeipe8qmSvi4juDZcWa,Global Flores & Co.,free,[8],[1],,2025-10-17 14:22:14
199,contact@nelsonholdingstradingco,$5$12$JhkokfS7Ep02yy3ApAnjl4bLx25mVZVPUErpGBZUo/wdw5nvJHMNA,Nelson Holdings Trading Co.,basic,[5],"[2, 5, 6, 8, 14]",2026-01-10,2025-06-21 12:53:43
200,mary.gonzalez,$2y$12$fOiBBLykadpSGE0gGw3moAhzcyyFydP6C1lADwB5DRwvVsWTZQSlP,Kuala Lumpur Asia Group,pro,"[1, 4, 5, 7]","[2, 5, 6]",2026-01-10,2025-04-07 01:30:25
201,sandra@co.th,$6$12$AYGZRbvT15awZnkW500/O3wKZ2K7b3Q/5LdHwnC4/kjprYlPrkAeM,Group Import Holdings,free,[1],"[1, 6]",,2025-08-01 11:31:24
202,nora@com.ph,$2a$12$BYIDf74FBhyaD31wDkOOLKL4LfIjctcBAPTkaQc1xe9YIJjU5eeVc,Nelson Holdings Trading Co.,basic,"[1, 5]","[4, 5, 7, 9, 10]",2024-07-10,2024-01-12 00:45:47
203,harper.1980,$2y$12$ZX2MKA.HcGLpNeaGIkb4mdZTXITDive.2agY9MJzkAzqVkKjAMgVj,Asia Corporation Sdn Bhd,basic,"[5, 8, 9]","[2, 5, 11]",2025-01-05,2024-07-09 00:53:43
204,thomas.1994,$2a$12$6WOo/K.z0FNwKB4EDRRvIAUMk5Rwbc0SCiWmmQHZb4vRixMHRMQvV,Southeast Import Holdings,basic,"[2, 3, 4, 6, 9]","[5, 9]",2026-01-10,2025-09-07 06:41:50
205,info@riveraholdingsinternational,$6$12$nmPCf82MMelSIzk/cBAZ6HhHkpNSl5FQct1GhG2NdUlkPCyCUA5JC,Rivera Holdings International,free,[7],[5],,2024-09-08 00:37:25
206,contact@hanoienterprisetradingco,$2y$12$FYWRxzQ4HhHsxWHA3afzJSSWqPyBP1NdX2pi5j.vHIQyUpfnFckF1,Hanoi Enterprise Trading Co.,enterprise,"[1, 2, 6, 7, 9, 10]","[2, 3, 5, 9, 10, 12, 15]",2026-01-10,2024-08-08 23:48:05
207,sales@kinggroupholdings,$5$12$/w/jRfRagVxjMn/HSJoMqGFkLwL7QTzxxVZa2lsLpTf.UN6JM15wW,King Group Holdings,basic,"[1, 2, 6, 9]","[5, 8, 10, 15]",2025-10-22,2025-06-24 14:56:23
208,export@johorbahrusoutheastjsc@com.sg,$2a$12$YbHRq/2fviDgiiVM9Fqv1LDw5vyngNmCY2SnSBuM/nOm61NE5dMLT,Johor Bahru Southeast JSC,basic,"[1, 5, 10]","[1, 5, 7, 13, 15]",2024-07-12,2024-03-14 06:21:45
209,mary@yahoo.com,$6$12$8dw/VmZLElLe4q4p31WpMTFLdO6TX8guGbZa8uYTk7gHGqXgcZJN.,Bandar Seri Begawan Technology Trading Co.,enterprise,"[1, 2, 3, 4, 6, 8, 9]","[1, 2, 4, 6, 10, 11, 14]",2026-01-10,2025-03-07 23:31:33
210,layla.1985,$2y$12$65TGS3byjZoK9FNg70InZ1NTl6iLXFV4Bu6PLJlyyjUmYapxlix/M,Jackson Holdings Group,basic,"[1, 10]","[2, 6, 10]",2025-12-13,2025-05-17 09:47:57
211,jessica@com.my,$2y$12$5.bEmXTXhVeLZcpm.I313N2Bk0rdlygamUDyaOsvMdyZhSxPExHg2,Pacific Export Holdings,free,[7],[4],,2024-09-07 09:28:06
212,joseph@asia.com,$2b$12$uHg3T.IWSIuqEfmrihWqc2xotv3SgR0MVLBKZyZIE9MHUKAqTZcJX,Global Hanoi Solutions,enterprise,"[1, 3, 5, 6, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14]",2026-01-10,2025-06-22 05:00:47
213,penelope@company.com,$2b$12$VzNJd66QiQRzRncqERf2qfcVTbg9CjryZak4Zs3nH6l2/YKp4xj/g,"Pacific Partners Co., Ltd",pro,"[1, 2, 4]","[2, 7, 9]",2026-01-10,2025-01-13 11:08:33
214,chloe.1988,$5$12$4mHDNwh9HaiXPj3HF9wEAc7b7K4ZgHq/HM.RX8tKH7ygFCvs72En6,Miller Holdings Holdings,free,"[4, 5]","[1, 10]",,2024-09-18 10:19:33
215,madison@export.com,$5$12$i2gN3qSdjZ2kUc5yPABQJd3z6s93DHGvZMFVUIhyya49Fsn69vHnD,Nelson Group Holdings,free,"[1, 2]",[6],,2024-01-22 13:24:30
